Command,Path,IsOptional,Type,Package,Category,Name,Aliases,Description,Licence
#cmatrix,,1,bundled,CMatrix,fun,,,"A vertical scrolling text screensaver. It provides ""digital rain"", inspired by the 1999 film ""The Matrix"". The ""droplets"" are lines of green characters that fall from the top of the terminal to the bottom, and are occasionally broken up.",GNU GPLv3
addgroup,,1,busybox,,usr,,,Creates a new group or adds a given user to an existing group.,GNU GPLv2
addr2line,,1,bundled,GNU Binutils,dev,GNU addr2line,,,GNU GPLv3
adduser,,1,busybox,,usr,,,Creates a new user.,GNU GPLv2
ar,/opt/i486-linux-musl-native/bin/ar,1,bundled,GNU Binutils,arc,GNU ar,,,GNU GPLv3
ar,/usr/bin/ar,1,busybox,,arc,,,"Extracts or lists files from a given .a, .ar or .lib archive.",GNU GPLv2
arch,,1,busybox,,sys,,,"Reports the computer's processor architecture. For example, ""i486"", ""i686"", ""x86_64"", etc.",GNU GPLv2
as,,1,bundled,GNU Binutils,dev,GNU assembler,,An x86 assembler and the default backend of GCC.,GNU GPLv3
ascii,,1,busybox,,gen,,,"Prints a table containing all 128 ASCII characters. For each character, its decimal (Dec) and hexadecimal (Hex) values are displayed with it.",GNU GPLv2
ash,,1,busybox,,sys,,,,GNU GPLv2
awk,,0,busybox,,txt,,,An AWK processor. AWK is a scripting language designed for text pattern scanning and processing and useful for data extraction and reporting.,GNU GPLv2
badblocks,,1,bundled,e2fsprogs,dsk,badblocks,,,GNU GPLv2 + LGPLv2
base32,,1,busybox,,txt,,,Encodes text to Base32 or decodes Base32 to text from a file to standard output.,GNU GPLv2
base64,,1,busybox,,txt,,,Encodes text to Base64 or decodes Base64 to text from a file to standard output.,GNU GPLv2
basename,,0,busybox,,gen,,,"Extracts the file name and/or the extension from a given path. If just a directory path is given, it will extract both. If a file extension is also given, it will extract the extension in addition to the directory path if it matches. For example, running ""basename /etc/resolv.conf"" will return ""resolv.conf""; running ""basename /etc/resolv.conf .conf"" will return ""resolv"". ",GNU GPLv2
bc,,1,busybox,,gen,,,"An arbitrary precision calculator and language. It launches into an interactive mode that allows you to enter expressions, with an optional math library for functions like sqrt and sin, or you pipe an expression via standard input to get an immediate, non-interactive result.",GNU GPLv2
beep,,1,busybox,,sys,,,"Allows you to produce a tone or a chain of tones using the PC speaker. You can set the frequency (Hz), length (ms), delay before playing (ms) and how many times it should repeat, and chain multiple tones together in a single command.",GNU GPLv2
blkid,!/usr/sbin/e2image,1,busybox,,dsk,,,Prints the universally unique identifier (UUID) and filesystem type for all found filesystems or for a given partition.,GNU GPLv2
blkid,/usr/sbin/e2image,1,bundled,e2fsprogs,dsk,blkid,,,GNU GPLv2 + LGPLv2
bunzip2,,1,busybox,,arc,,,"Decompresses given bzip2 archives, or bzip2-compressed standard input to standard output. By default, it will replace the input files unless told otherwise.",GNU GPLv2
bzcat,,1,busybox,,arc,,,Decompresses a given bzip2 archive to standard output. Functions like bunzip2 -c.,GNU GPLv2
bzip2,,1,busybox,,arc,,,"Compresses given files or standard input into a bzip2 archive. By default, it will replace the input files unless told otherwise.",GNU GPLv2
c++filt,,1,bundled,GNU Binutils,dev,GNU c++filt,,,GNU GPLv3
cal,,1,busybox,,gen,,,,GNU GPLv2
cat,,0,busybox,,txt,,,"Used for concatenating (combining) files, providing a standard output for printing or writing to a file. When its output is not directed, it prints the result.",GNU GPLv2
chattr,,1,bundled,e2fsprogs,dsk,chattr,,,GNU GPLv2 + LGPLv2
chgrp,,1,busybox,,usr,,,Changes the group owner of any given files with the given group name or ID.,GNU GPLv2
chmod,,1,busybox,,usr,,,"Changes one or more file mode bits of any given files, either with an octal number representing the mode's bit pattern or symbolic representations for a specific change. It changes how files can be accessed - can it be read, written, or executed as a program.",GNU GPLv2
chown,,1,busybox,,usr,,,Changes the user and/or group owner of any given files to the given user and group names or IDs.,GNU GPLv2
chpasswd,,1,busybox,,usr,,,"Changes user passwords based on standard input. Compared to passwd, this is intended for script/batch processing usage.",GNU GPLv2
chroot,,1,busybox,,usr,,,"Runs a given program that believes the root directory is any directory of your choice. It is useful for rescue and sandboxing, allowing you to run a program that cannot make changes outside the given directory.",GNU GPLv2
chvt,,1,busybox,,gen,,,"Changes the active virtual terminal. Changing the current virtual terminal is useful for terminal-based multi-tasking, troubleshooting and recovery. It functions similarly to pressing Ctrl+Alt+[F1/F2/F3/etc.]",GNU GPLv2
cksum,,1,busybox,,chk,,,,GNU GPLv2
clear,,0,busybox,,gen,,,"Clears the terminal so that the cursor is positioned at the top. It is similar to ""cls"" on MS-DOS, Microsoft Windows, etc.",GNU GPLv2
comm,,1,busybox,,txt,,,,GNU GPLv2
cp,,0,busybox,,gen,,,,GNU GPLv2
cpio,,1,busybox,,arc,,,"Lists or extracts files from a cpio archive on standard input, creates an archive from a list of files from standard input, or copies files from a list of files from standard input.",GNU GPLv2
crc32,,1,busybox,,chk,,,,GNU GPLv2
crontab,,1,busybox,,pro,,,"Allows you to manage your crontab, a way of scheduling recurring jobs with the cron daemon (crond). You can list, edit and delete the current crontab, or replace it with the contents of a given file.",GNU GPLv2
cryptpw,,1,busybox,,usr,,,"Prints a hash for the given or prompted password. You can optionally specify the encryption type (DES, MD5, SHA256, SHA512 and yescrypt) and specify a salt to add some 'randomness' to the hash. This BusyBox implementation functions the same as mkpasswd.",GNU GPLv2
cscope,,1,bundled,Cscope,dev,,,"An interactive C and C++ source code browser. It builds a symbol database from a given project's source files, letting you quickly jump to where a function or variable is defined, called or referenced elsewhere in the codebase.",BSD 3-Clause
ctags,,1,bundled,Universal Ctags,dev,,,"A multi-language source code object indexing tool that generates tags files that allow editors such as Emacs, vi and Vim to jump straight to a definition of a function, variable or other symbol.",GNU GPLv2
curl,,1,bundled,cURL,net,,,,MIT
cut,,1,busybox,,txt,,,,GNU GPLv2
date,,0,busybox,,gen,,,,GNU GPLv2
dc,,1,busybox,,gen,,,,GNU GPLv2
dd,,0,busybox,,dsk,,,,GNU GPLv2
debugfs,,1,bundled,e2fsprogs,dsk,debugfs,,,GNU GPLv2 + LGPLv2
delgroup,,1,busybox,,usr,,,Deletes the given group or removes the given user from the given group.,GNU GPLv2
deluser,,1,busybox,,usr,,,Deletes the given user.,GNU GPLv2
df,,0,busybox,,dsk,,,,GNU GPLv2
dialog,,1,bundled,dialog,dev,,,"Allows you to create and display dialog boxes from a shell script. dialog includes the following boxes: buildlist, calendar, checklist, dselect, editbox, form, fselect, gauge, infobox, inputbox, inputmenu, menu, mixedform, mixedgauge, msgbox, passwordbox, passwordform, pause, prgbox, programbox, progressbox, radiolist, rangebox, tailbox, tailboxbg, textbox, timebox, treeview and yesno. The SHORK 486 Build Configurator is dialog based, and the Linux kernel's lxdialog is a distant descendant of dialog.",GNU LGPLv2.1
diff,,1,busybox,,dev,,,Compares two files line-by-line and outputs a difference listing between them. The result can be used as a patch file for the patch utility.,GNU GPLv2
dirname,,1,busybox,,gen,,,,GNU GPLv2
dmesg,,1,busybox,,sys,,,,GNU GPLv2
dos2unix,,1,busybox,,txt,,,Converts a text file from using DOS-style line breaks (carriage return + line feed) to using Unix-style line breaks (line feed).,GNU GPLv2
dosfsck,,1,bundled,dosfstools,dsk,dosfsck,,,GNU GPLv3
dosfslabel,,1,bundled,dosfstools,dsk,dosfslabel,,,GNU GPLv3
du,,1,busybox,,dsk,,,,GNU GPLv2
dumpe2fs,,1,bundled,e2fsprogs,dsk,dumpe2fs,,,GNU GPLv2 + LGPLv2
dwp,,1,bundled,GNU Binutils,dev,GNU dwp,,,GNU GPLv3
e2freefrag,,1,bundled,e2fsprogs,dsk,e2freefrag,,,GNU GPLv2 + LGPLv2
e2fsck,,1,bundled,e2fsprogs,dsk,e2fsck,,,GNU GPLv2 + LGPLv2
e2image,,1,bundled,e2fsprogs,dsk,e2image,,,GNU GPLv2 + LGPLv2
e2initrd_helper,,1,bundled,e2fsprogs,dsk,e2initrd_helper,,,GNU GPLv2 + LGPLv2
e2label,,1,bundled,e2fsprogs,dsk,e2label,,,GNU GPLv2 + LGPLv2
e2mmpstatus,,1,bundled,e2fsprogs,dsk,e2mmpstatus,,,GNU GPLv2 + LGPLv2
e2scrub,,1,bundled,e2fsprogs,dsk,e2scrub,,,GNU GPLv2 + LGPLv2
